transaction_id,date,time,retailer_location_city,ticket_batch_id,unique_code
T000228,2025-11-12,20:45:17,Los Angeles,BATCH-B-2025,XALS-9067
T000229,2025-11-10,12:03:23,Miami,BATCH-B-2025,RKYC-0705
T000230,2025-10-08,17:34:13,Miami,BATCH-C-2025,IASW-4824
T000231,2025-10-06,08:45:17,Chicago,BATCH-A-2025,QLLF-5498
T000232,2025-12-19,04:01:31,New York,BATCH-B-2025,BPUU-8098
T000233,2026-01-23,05:00:47,Houston,BATCH-C-2025,KWSY-7418
T000234,2026-02-09,23:50:16,Detroit,BATCH-A-2025,FDBQ-5620
T000235,2025-10-09,04:36:17,Houston,BATCH-A-2025,NGFR-5768
T000236,2026-02-07,15:13:32,New York,BATCH-C-2025,BKOS-7953
T000237,2025-10-25,23:24:41,Los Angeles,BATCH-B-2025,NTVN-3436
T000238,2025-10-11,01:37:12,Los Angeles,BATCH-C-2025,WRFL-5247
T000239,2025-11-01,20:58:38,Miami,BATCH-B-2025,ICMA-1903
T000240,2025-12-26,00:48:26,Chicago,BATCH-B-2025,MVBL-0896
T000241,2025-09-01,00:57:37,Atlanta,BATCH-B-2025,SWPH-1996
T000242,2025-10-02,07:20:37,Houston,BATCH-B-2025,ELAH-9118
T000243,2026-01-03,19:26:49,Atlanta,BATCH-B-2025,UPGF-3301
T000244,2025-09-09,22:59:38,Houston,BATCH-B-2025,NTKZ-2911
T000245,2026-02-16,17:38:24,Los Angeles,BATCH-A-2025,RKTR-3297
T000246,2025-08-25,21:58:38,Chicago,BATCH-A-2025,GJLN-2294
T000247,2026-01-13,01:28:11,Atlanta,BATCH-B-2025,CCHX-8060
T000248,2026-02-17,08:05:39,Chicago,BATCH-C-2025,WTSY-3967
T000249,2026-01-25,05:47:47,Chicago,BATCH-A-2025,DMJX-3146
T000250,2026-02-04,21:20:35,Detroit,BATCH-A-2025,LSXL-5768
T000251,2025-11-28,01:01:10,Chicago,BATCH-A-2025,KJTX-0589
T000252,2025-10-30,23:59:27,Houston,BATCH-A-2025,UFMK-6099
T000253,2026-01-21,13:30:07,Chicago,BATCH-C-2025,YZHV-4074
T000254,2026-01-24,16:27:44,Los Angeles,BATCH-B-2025,MPMJ-2134
T000255,2025-12-17,13:16:18,Atlanta,BATCH-C-2025,QGJN-8372
T000256,2025-12-14,07:07:50,Houston,BATCH-B-2025,RLVH-0004
T000257,2025-10-19,11:57:18,Detroit,BATCH-A-2025,WSLI-6583
T000258,2026-01-20,01:42:09,Atlanta,BATCH-A-2025,HEKS-8567
T000259,2025-10-20,22:55:16,Detroit,BATCH-B-2025,OKQG-9075
T000260,2025-09-16,03:11:00,New York,BATCH-B-2025,YBBN-1240
T000261,2025-12-26,19:39:50,New York,BATCH-B-2025,XABM-6049
T000262,2026-01-01,04:13:35,New York,BATCH-C-2025,MSSS-2517
T000263,2025-10-12,16:10:08,Detroit,BATCH-A-2025,QABL-6279
T000264,2025-09-27,05:27:50,Los Angeles,BATCH-C-2025,RDUZ-2587
T000265,2025-12-05,18:59:29,Atlanta,BATCH-C-2025,ILGK-7546
T000266,2026-01-01,02:27:53,New York,BATCH-B-2025,LRVI-9371
T000267,2025-11-25,20:37:01,Chicago,BATCH-A-2025,YPSX-9174
T000268,2025-08-29,11:42:34,Chicago,BATCH-C-2025,QAOK-6081
T000269,2026-01-28,18:39:55,Houston,BATCH-A-2025,JVKB-2492
T000270,2025-11-19,04:13:10,Miami,BATCH-C-2025,WQNT-4516
T000271,2025-11-04,19:06:55,Miami,BATCH-A-2025,NRPK-5486
T000272,2025-10-03,09:05:10,Chicago,BATCH-A-2025,SAMC-6565
T000273,2025-11-21,21:16:12,Miami,BATCH-B-2025,JYNG-8705
T000274,2026-01-11,04:00:40,Chicago,BATCH-B-2025,IQTP-3668
T000275,2025-09-04,22:27:00,Los Angeles,BATCH-B-2025,UJDR-3651
T000276,2025-11-14,08:55:15,Detroit,BATCH-A-2025,UBAT-7761
T000277,2025-12-20,08:00:20,Houston,BATCH-A-2025,TUPN-2977
T000278,2025-12-10,23:30:02,Miami,BATCH-A-2025,FJYF-4434
T000279,2025-11-07,23:21:03,Chicago,BATCH-A-2025,UZOF-7089
T000280,2025-10-03,14:08:23,Los Angeles,BATCH-B-2025,WLOV-6966
T000281,2025-09-20,13:32:01,Detroit,BATCH-C-2025,SGBM-3280
T000282,2025-12-02,02:47:53,Miami,BATCH-C-2025,VSJI-5821
T000283,2025-10-16,00:48:23,Detroit,BATCH-B-2025,VWKW-7982
T000284,2026-01-20,15:40:42,Atlanta,BATCH-A-2025,ABQK-0321
T000285,2025-11-05,22:49:44,Los Angeles,BATCH-A-2025,HLKF-4663
T000286,2025-10-20,00:04:39,Miami,BATCH-B-2025,QFJQ-6270
T000287,2025-08-27,13:00:27,Houston,BATCH-A-2025,OMOW-4584
T000288,2025-10-14,07:34:44,Houston,BATCH-B-2025,UMWL-5800
T000289,2025-12-23,22:48:31,Atlanta,BATCH-B-2025,AVUS-2513
T000290,2026-02-06,14:46:25,Los Angeles,BATCH-A-2025,VJWW-7592
T000291,2025-10-11,23:09:44,Los Angeles,BATCH-A-2025,ZQJO-6249
T000292,2025-11-04,13:31:22,Chicago,BATCH-C-2025,TDSG-5315
T000293,2025-10-27,08:56:44,Chicago,BATCH-A-2025,MHON-7926
T000294,2025-12-10,02:26:05,Miami,BATCH-C-2025,EQIH-0264
T000295,2026-02-02,22:49:34,New York,BATCH-B-2025,ONAZ-1484
T000296,2025-11-23,16:25:47,Atlanta,BATCH-C-2025,PSYK-1695
T000297,2026-02-08,13:08:37,Miami,BATCH-B-2025,IQJE-7307
T000298,2025-09-25,16:00:30,Chicago,BATCH-A-2025,JOEN-0515
T000299,2026-01-05,04:46:35,Los Angeles,BATCH-A-2025,MOSX-7360
T000300,2026-01-20,14:08:17,Atlanta,BATCH-C-2025,PPKT-2516
T000301,2025-11-24,12:50:42,Atlanta,BATCH-A-2025,PFFW-3060
T000302,2025-11-27,22:15:05,Atlanta,BATCH-C-2025,WUQO-5502
T000303,2026-01-20,17:03:53,Los Angeles,BATCH-B-2025,FXXF-0450
T000304,2025-09-09,22:40:57,Houston,BATCH-A-2025,XFVV-0930
T000305,2025-09-21,02:26:33,Los Angeles,BATCH-B-2025,TZGG-7271
T000306,2025-11-18,00:28:53,Miami,BATCH-B-2025,YAYW-9840
T000307,2025-12-02,20:06:10,Miami,BATCH-C-2025,VDWZ-5686
T000308,2025-11-30,03:23:24,Detroit,BATCH-B-2025,SCWL-0257
T000309,2025-11-27,15:20:27,Chicago,BATCH-A-2025,TSQZ-8102
T000310,2026-01-13,11:50:18,New York,BATCH-A-2025,BTCM-5247
T000311,2026-01-15,15:32:28,New York,BATCH-B-2025,VORW-4608
T000312,2026-01-25,22:41:28,Miami,BATCH-A-2025,QWFS-1874
T000313,2025-09-22,11:01:38,New York,BATCH-B-2025,SEWY-1162
T000314,2025-09-08,11:55:06,Miami,BATCH-A-2025,WPCL-1864
T000315,2026-01-10,03:04:15,Detroit,BATCH-A-2025,DGNG-1778
T000316,2025-11-24,01:54:07,Houston,BATCH-A-2025,TVJC-9961
T000317,2026-02-06,09:46:45,Chicago,BATCH-C-2025,EAWD-8097
T000318,2025-12-23,15:59:19,Los Angeles,BATCH-C-2025,ACOF-1468
T000319,2025-12-05,11:15:03,Detroit,BATCH-A-2025,EWIL-0062
T000320,2025-09-22,21:34:04,Detroit,BATCH-A-2025,IWYH-9170
T000321,2026-01-09,22:13:03,Atlanta,BATCH-A-2025,BDAY-2922
T000322,2026-01-22,11:00:45,Los Angeles,BATCH-C-2025,WNWI-3486
T000323,2025-09-11,02:38:08,Los Angeles,BATCH-B-2025,ASVN-9384
T000324,2025-08-25,20:21:16,Miami,BATCH-B-2025,PTPU-8325
T000325,2025-10-05,14:15:22,Atlanta,BATCH-C-2025,QPMQ-7342
T000326,2025-11-06,11:58:02,Chicago,BATCH-B-2025,BPLH-2965
T000327,2025-11-14,20:56:35,Los Angeles,BATCH-A-2025,AHZB-8556
T000328,2026-01-18,01:15:28,Houston,BATCH-C-2025,TZCF-0357
T000329,2025-10-02,01:25:44,Detroit,BATCH-A-2025,NJTC-0819
T000330,2025-11-04,12:47:29,Houston,BATCH-B-2025,DQQX-2119
T000331,2026-02-04,18:34:29,Chicago,BATCH-C-2025,KGCP-5968
T000332,2025-09-22,11:18:46,Atlanta,BATCH-C-2025,UOKG-4421
T000333,2026-02-04,19:36:06,Chicago,BATCH-A-2025,UTOC-4671
T000334,2026-01-09,06:56:40,New York,BATCH-A-2025,HVGS-8103
T000335,2025-10-20,21:30:13,New York,BATCH-C-2025,TKNG-4775
T000336,2025-10-05,00:17:14,Los Angeles,BATCH-A-2025,IZWQ-2733
T000337,2026-01-07,01:44:41,Los Angeles,BATCH-A-2025,HOLT-6608
T000338,2025-10-16,05:55:05,Miami,BATCH-C-2025,BSDX-4955
T000339,2025-09-07,08:28:35,Los Angeles,BATCH-A-2025,IGNK-2820
T000340,2025-10-16,06:48:26,Houston,BATCH-B-2025,SAPT-2172
T000341,2026-02-13,14:33:40,Detroit,BATCH-C-2025,BERH-0869
T000342,2026-01-02,06:30:48,Miami,BATCH-B-2025,GZMR-3329
T000343,2026-02-05,20:49:23,New York,BATCH-C-2025,DTFE-7903
T000344,2025-11-01,18:45:52,Detroit,BATCH-B-2025,GPYC-7214
T000345,2026-01-20,21:11:47,Detroit,BATCH-B-2025,GOXJ-2256
T000346,2026-02-02,01:25:33,Chicago,BATCH-C-2025,LIVW-6158
T000347,2025-11-21,04:19:11,Atlanta,BATCH-B-2025,UTZV-5425
T000348,2025-10-26,05:39:34,Chicago,BATCH-B-2025,UTSI-1609
